"country","subregion","region","status","species","species_functional_group","marine_inland","scale","catch_avg_annuaL_tonnes","mu","lower95","upper95","lower50","upper50","n_targets","cost_caloric_adequacy","nutrient_adequacy","portion_adq33","usd_adq33"
"Guinea","Western Africa","Africa","Low income","Mixed","Miscellaneous coastal fishes","Marine","Small-scale",8882.594,2.35303481587824,2.22439864171215,2.48585052325215,2.30468995840879,2.39485165384842,4,10.5174398337164,32.9580333171306,100.127333698785,10.5308320788741
"Nigeria","Western Africa","Africa","Lower middle income","Mixed","Miscellaneous coastal fishes","Inland","Small-scale",5086.2,3.88821257106112,3.69992092501213,4.07033630870657,3.82477783275147,3.95283227487342,5,48.8235398759516,30.8589355685442,106.938231640233,52.2110301675066
"Gambia","Western Africa","Africa","Low income","Arius latiscutatus","Miscellaneous coastal fishes","Inland","Small-scale",1462.725,3.32433048396063,2.88799387015957,3.79025388063773,3.16001381460769,3.47158039529221,4,27.7803929962843,33.2728503129605,99.1799611082488,27.5525829694335
"Liberia","Western Africa","Africa","Low income","Arius latiscutatus","Miscellaneous coastal fishes","Marine","Small-scale",489.5,3.14395806504135,2.67904761850946,3.63630274158106,2.96608827223426,3.30106545649186,4,23.1954946812741,33.2728503129605,99.1799611082488,23.0052826037536
"Mauritania","Western Africa","Africa","Lower middle income","Arius latiscutatus","Miscellaneous coastal fishes","Marine","Small-scale",988.8,3.2114223729267,2.76986472383146,3.70081747440718,3.02615951164281,3.34754665606417,4,24.8143564037095,33.2728503129605,99.1799611082488,24.6108690304613
"Turkey","Western Asia","Asia","Upper middle income","Mixed","Flounders, halibuts, soles","Marine","Small-scale",1.3734,4.21604670583089,4.02054045634838,4.42015651888173,4.14719431891855,4.28256762416498,4,67.7650588446383,29.6616362789661,111.254819827324,75.3918941234826
"Senegal","Western Africa","Africa","Lower middle income","Arothron hispidus","Reef-associated fishes","Marine","Small-scale",164.59,3.33787633399913,2.80900145161568,3.89527623774664,3.176438342871,3.54835758678986,3,28.1592622939565,27.4649932238899,120.152951544498,33.8341847793456
"Peru","South America","Americas","Upper middle income","Astronotus ocellatus","Tilapias and other cichlids","Inland","Small-scale",409.248,2.56686736060997,2.02278197010814,3.12177253539573,2.34652634719616,2.72154450582554,4,13.0249579680091,30.4097321931374,108.517890885758,14.1344096756399
"Egypt","Northern Africa","Africa","Lower middle income","Mixed","Miscellaneous pelagic fishes","Inland","Small-scale",1600.8,3.11476923146397,2.95306222678901,3.27834734833187,3.0603219933286,3.17114032611811,4,22.5282309467131,26.3842530810461,125.074603774577,28.1770955940231
"Turkey","Western Asia","Asia","Upper middle income","Atherina boyeri","Miscellaneous pelagic fishes","Inland","Small-scale",5142.94,3.41986208671851,2.84677533376078,3.96610302247972,3.23458636777706,3.61591586217622,4,30.5651993834143,33.7041012293646,97.9109330803007,29.9266719141553
"Egypt","Northern Africa","Africa","Lower middle income","Atherina hepsetus","Miscellaneous pelagic fishes","Inland","Small-scale",1262.6,3.16060953983343,2.6214908875123,3.71589522017411,2.96217546468291,3.33161234757149,4,23.5849675257699,32.1164210504469,102.751175008464,24.2338312580933
"Turkey","Western Asia","Asia","Upper middle income","Mixed","Miscellaneous pelagic fishes","Marine","Small-scale",48.3604,3.99232166037278,3.84176957589083,4.14612904349484,3.93278547525125,4.0379975398004,5,54.1805322515382,32.9976273386292,100.007190399923,54.1844280484876
"Mexico","North America","Americas","Upper middle income","Atherinopsis californiensis","Miscellaneous pelagic fishes","Marine","Small-scale",32.3873091866667,3.00145167269012,2.49381068006381,3.55779388107442,2.78351161093426,3.1526317308388,3,20.1147157225144,27.4619251428024,120.166375184549,24.1711247624221
"South Africa","Southern Africa","Africa","Upper middle income","Atractoscion aequidens","Miscellaneous coastal fishes","Marine","Small-scale",255.6,4.35687977320233,3.82242362998893,4.85364925025212,4.17849929892843,4.52854528470021,3,78.0133349677445,24.7754021067148,133.196627275148,103.911131001899
"Mexico","North America","Americas","Upper middle income","Mixed","Miscellaneous freshwater fishes","Inland","Small-scale",82.31419311625,3.24965592964073,3.12445327207979,3.37867038683162,3.20428775751104,3.29154227367686,5,25.7814677520841,30.8589355685442,106.938231640233,27.5702457049756
"Mexico","North America","Americas","Upper middle income","Mixed","Miscellaneous freshwater fishes","Marine","Small-scale",79.783228215,3.2497616789352,3.12477079498191,3.37893344664588,3.20439330396833,3.2915775296156,5,25.7841942682703,30.8589355685442,106.938231640233,27.5731613931706
"Nigeria","Western Africa","Africa","Lower middle income","Mixed","Miscellaneous freshwater fishes","Inland","Small-scale",2271.6,3.96031519825984,3.78646460232444,4.13520794362211,3.89066150027318,4.01176898034938,5,52.4738630130442,30.8589355685442,106.938231640233,56.1146211794677
"Senegal","Western Africa","Africa","Lower middle income","Auchenoglanis biscutatus","Freshwater catfishes","Inland","Small-scale",164.428,3.18735739449766,2.64798820398501,3.76890934260756,2.97349322594429,3.34138926427805,4,24.2243274438983,29.04457484225,113.618464650397,27.5233089136421
"Nigeria","Western Africa","Africa","Lower middle income","Mixed","Miscellaneous freshwater fishes","Inland","Small-scale",1389.2,3.91783678960366,3.74073049284869,4.08678766442939,3.85481018122061,3.97422919338961,5,50.291535850873,30.8589355685442,106.938231640233,53.7808791036374
