"country","subregion","region","status","species","species_functional_group","marine_inland","scale","catch_avg_annuaL_tonnes","calcium","iron","selenium","zinc","vitamin_a","omega_3","protein","ca_rni","fe_rni","se_rni","zn_rni","vita_rni","om_rni","nutrient_density","lmat"
"Ghana","Western Africa","Africa","Lower middle income","Mixed","Miscellaneous coastal fishes","Marine","Small-scale",25.22,56.1382095705277,0.736894340773325,23.670039016978,1.75774624931706,35.0859256853092,0.141731160264133,18.636560788412,5.61382095705277,2.50644333596369,91.0386116037615,35.8723724350421,7.01718513706184,12.884650933103,154.933084401985,21.1807692307692
"Kenya","Eastern Africa","Africa","Lower middle income","Mixed","Miscellaneous coastal fishes","Marine","Small-scale",319.037725342142,79.3148686115456,0.933873666585744,19.4677185963782,2.46603707918994,36.475600862114,0.137349764145295,18.603529955289,7.93148686115456,3.17644104280865,74.8758407553006,50.3272873304069,7.2951201724228,12.4863421950268,156.09251835712,21.1807692307692
"Ghana","Western Africa","Africa","Lower middle income","Acanthurus chirurgus","Reef-associated fishes","Marine","Small-scale",687.658,43.1637005530996,1.33478148539567,10.6591642811951,1.80086431574309,11.1460652334345,0.164706664341958,19.4168476289432,4.31637005530996,4.54007307957711,40.9967856969044,36.7523329743488,2.22921304668689,14.9733331219962,103.808107974823,12.3
"Saint Vincent and the Grenadines","Caribbean","Americas","Upper middle income","Acanthurus chirurgus","Reef-associated fishes","Marine","Small-scale",0.144,43.1637005530996,1.33478148539567,10.6591642811951,1.80086431574309,11.1460652334345,0.164706664341958,19.4168476289432,4.31637005530996,4.54007307957711,40.9967856969044,36.7523329743488,2.22921304668689,14.9733331219962,103.808107974823,12.3
"Senegal","Western Africa","Africa","Lower middle income","Acanthurus chirurgus","Reef-associated fishes","Marine","Large-scale",21,43.1637005530996,1.33478148539567,10.6591642811951,1.80086431574309,11.1460652334345,0.164706664341958,19.4168476289432,4.31637005530996,4.54007307957711,40.9967856969044,36.7523329743488,2.22921304668689,14.9733331219962,103.808107974823,12.3
"Indonesia","South-Eastern Asia","Asia","Lower middle income","Acanthurus mata","Reef-associated fishes","Marine","Large-scale",2230.99834766666,45.0665060003957,0.66589677988991,19.6953266150287,2.06904309167126,34.7843059954394,0.112516242671915,18.7226215157829,4.50665060003957,2.26495503363915,75.7512562116487,42.2253692177809,6.95686119908789,10.2287493338105,141.933841596007,22.1
"Indonesia","South-Eastern Asia","Asia","Lower middle income","Acanthurus mata","Reef-associated fishes","Marine","Small-scale",203.469427559172,45.0665060003957,0.66589677988991,19.6953266150287,2.06904309167126,34.7843059954394,0.112516242671915,18.7226215157829,4.50665060003957,2.26495503363915,75.7512562116487,42.2253692177809,6.95686119908789,10.2287493338105,141.933841596007,22.1
"Gambia","Western Africa","Africa","Low income","Acanthurus monroviae","Miscellaneous coastal fishes","Marine","Small-scale",40.9,171.646361798128,1.32823719195136,34.5686173151915,2.47925506993771,11.3658268323813,0.400290393752218,16.8719231376378,17.1646361798128,4.51781357806586,100,50.5970422436268,2.27316536647626,36.3900357956562,210.942693163638,26.5
"Guinea","Western Africa","Africa","Low income","Acanthurus monroviae","Miscellaneous coastal fishes","Marine","Large-scale",418.02,171.646361798128,1.32823719195136,34.5686173151915,2.47925506993771,11.3658268323813,0.400290393752218,16.8719231376378,17.1646361798128,4.51781357806586,100,50.5970422436268,2.27316536647626,36.3900357956562,210.942693163638,26.5
"Senegal","Western Africa","Africa","Lower middle income","Acanthurus monroviae","Miscellaneous coastal fishes","Marine","Large-scale",39,171.646361798128,1.32823719195136,34.5686173151915,2.47925506993771,11.3658268323813,0.400290393752218,16.8719231376378,17.1646361798128,4.51781357806586,100,50.5970422436268,2.27316536647626,36.3900357956562,210.942693163638,26.5
